row_index,primary_accent,sample_id,sentence,reference_translation_zh,direct_translation,direct_unk_count,reference_tokenizer_unk_count,reference_tokens
126,England English,spk_0695,"At her death she was the Dowager Countess of Dorset, Pembroke, and Montgomery.",她去世时的身份为多塞特郡、彭布罗克郡和蒙哥马利郡的伯爵夫人。,"在她去世时,她是多塞特,<unk>布罗克和蒙哥马利的寡妇伯爵夫人.",1,2,"['▁她', '去世', '时的', '身份', '为', '多', '塞', '特', '郡', '<unk>', '彭', '布', '罗', '克', '郡', '和', '蒙', '哥', '马', '利', '郡', '的', '伯', '爵', '夫', '人', '<unk>', '<pad>']"
133,England English,spk_0516,The internal doors of the house would need to be replaced because they were very ugly.,房子的内门需要更换，因为它们很难看。,"房子的内部门需要更换, 因为它们非常丑<unk>.",1,1,"['▁', '房子', '的', '内', '门', '需要', '更', '换', ',', '因为', '它们', '很难', '看', '<unk>']"
143,England English,spk_1347,Chili powder blends are the primary flavor ingredient in chili con carne.,辣椒粉混合物是辣椒酱的主要味道成分。,<unk>粉混合物是<unk><unk><unk>的主要口味成分.,4,1,"['▁', '辣', '椒', '粉', '混合', '物', '是', '辣', '椒', '酱', '的主要', '味道', '成', '分', '<unk>', '<pad>']"
147,England English,spk_1221,I guess I used all the shells.,我想我用了所有的贝壳。,我想我用了所有的弹<unk>.,1,1,"['▁我想', '我', '用', '了', '所有的', '贝', '壳', '<unk>']"
149,England English,spk_0597,"There were really, I think, two or three hundred people elbowing one another.",我想，真的有两三百人互相推搡。,"我认为,实际上有两百到三百人互相<unk>肘.",1,1,"['▁我想', ',', '真的', '有', '两', '三', '百', '人', '互', '相', '推', '<unk>']"
150,England English,spk_1524,"Then the old man began to inspect the sheep, and he saw that one was lame.",然后老人开始检查羊，他看到一只是跛脚的。,"然后这位老人开始检查羊, 他看到一个是<unk>的.",1,1,"['▁然后', '老人', '开始', '检查', '羊', ',', '他', '看到', '一', '只是', '跛', '脚', '的', '<unk>']"
153,England English,spk_0544,"Some people like sea gulls, others don't.",有些人喜欢海鸥，有些人不喜欢。,"有些人喜欢海<unk>,有些人不喜欢.",1,1,"['▁有些', '人', '喜欢', '海', '鸥', ',', '有些', '人', '不', '喜欢', '<unk>', '<pad>']"
157,England English,spk_1521,Boffer weapons are commonly used as props in live action role-playing games.,人们通常将 Boffer 武器当做真人角色扮演游戏中的道具使用。,弹<unk>武器通常被用作现场角色扮演游戏的道具.,1,1,"['▁人们', '通常', '将', '▁Bo', 'ffer', '▁', '武器', '当', '做', '真人', '角色', '扮演', '游戏', '中的', '道', '具', '使用', '<unk>']"
159,England English,spk_0327,Caution and adjustment of dosage as necessary are warranted when combining fluvoxamine and mirtazapine.,当将氟伏沙明与米氮平合用时，应谨慎使用并调整剂量。,"在结合<unk>氨酸和米尔塔扎<unk>时,需要谨慎和调整剂量.",2,1,"['▁当', '将', '氟', '伏', '沙', '明', '与', '米', '氮', '平', '合', '用', '时', ',', '应', '谨', '慎', '使用', '并', '调整', '剂', '量', '<unk>', '<pad>']"
164,England English,spk_0032,Do you ever doodle things on a piece of paper when you're bored?,你无聊的时候会在纸上涂鸦吗？,你有没有在无聊的时候在纸上涂<unk>东西?,1,0,"['▁你', '无', '聊', '的时候', '会在', '纸', '上', '涂', '鸦', '吗', '?', '<pad>']"
172,England English,spk_1047,A man of straw needs a woman of gold.,一个草包男人需要一个黄金女人。,一个<unk>草的男人需要一个金色的女人.,1,1,"['▁一个', '草', '包', '男人', '需要', '一个', '黄金', '女人', '<unk>', '<pad>']"
174,England English,spk_0976,You have enough gold to buy many sheep and many camels.,你有足够的黄金去买许多羊和骆驼。,你有足够的黄金来买很多羊和很多<unk>驼.,1,1,"['▁你', '有', '足够的', '黄金', '去', '买', '许多', '羊', '和', '骆', '驼', '<unk>']"
177,England English,spk_0219,"the camel drivers exchanged information about windstorms, and told stories about the desert.",骆驼司机们交换了有关风暴的信息，并讲述了沙漠的故事。,"<unk>驼司机交换关于风暴的信息, 讲述关于沙漠的故事.",1,1,"['▁', '骆', '驼', '司', '机', '们', '交换', '了', '有关', '风', '暴', '的信息', ',', '并', '讲', '述', '了', '沙', '漠', '的故事', '<unk>', '<pad>']"
180,England English,spk_1282,"Daily Telegraph journalist Toby Harnden described Yon's commentary as ""excoriating"".",《每日电讯报》记者托比·哈登称杨的评论非常严厉。,"""每日电报""记者托比·哈伦登将<unk>的评论描述为""令人<unk>丧"".",2,3,"['▁', '<unk>', '每日', '电', '讯', '报', '<unk>', '记者', '托', '比', '·', '哈', '登', '称', '杨', '的', '评论', '非常', '严', '厉', '<unk>', '<pad>']"
182,England English,spk_1316,Keep your shirt on.,穿上你的衬衫。,保持你的<unk>衫上.,1,1,"['▁', '穿', '上', '你的', '衬', '衫', '<unk>', '<pad>']"
192,England English,spk_0873,"Take shelter in this tent, but keep still.",躲在帐篷里，但要保持不动。,"在这个帐<unk>里避难,但保持安静.",1,1,"['▁', '躲', '在', '帐', '篷', '里', ',', '但', '要', '保持', '不', '动', '<unk>', '<pad>']"
197,England English,spk_1079,Football is often confused with soccer.,人们常把Football（橄榄球）和soccer（英式足球）搞混。,足球经常与足球混<unk>.,1,1,"['▁人们', '常', '把', 'Fo', 'otball', '(', '橄', '榄', '球', ')', '和', 's', 'oc', 'cer', '(', '英', '式', '足球', ')', '搞', '混', '<unk>']"
200,England English,spk_0857,And a whole cold chicken staring us right in the face.,一只冰冷的鸡正对着我们的脸。,一个冷冷的<unk>正<unk>着我们的脸.,2,1,"['▁一', '只', '冰', '冷', '的', '鸡', '正', '对', '着', '我们的', '脸', '<unk>']"
208,England English,spk_0076,"The flag is red, blue, and yellow.",旗子是红、蓝、黄三色的。,"旗<unk>是红色的,蓝色的和黄色的.",1,3,"['▁', '旗', '子', '是', '红', '<unk>', '蓝', '<unk>', '黄', '三', '色的', '<unk>']"
220,England English,spk_1435,Who is the blonde girl with the red skirt?,那个穿红裙子的金发女孩是谁?,那个穿着红色<unk>子的金发女孩是谁?,1,0,"['▁那', '个', '穿', '红', '裙', '子的', '金', '发', '女孩', '是', '谁', '?']"
221,England English,spk_1520,Don't go off half-cocked.,不要管窥蠡测。,不要过于<unk>忙.,1,2,"['▁不要', '管', '窥', '<unk>', '测', '<unk>']"
232,England English,spk_0303,"Yeah, I had a bit of a poke at that and failed to work out what was wrong.",是啊，我想了一下，但没弄清楚是怎么回事。,"是的,我有点<unk>在那儿,并未能弄清楚什么是错的.",1,1,"['▁是', '啊', ',', '我想', '了一', '下', ',', '但', '没', '弄', '清楚', '是', '怎么', '回', '事', '<unk>']"
234,England English,spk_0391,"When he saw Henderson in his garden, he called over the fence and made himself understood.",当他看见 Henderson 在他的花园里时，他隔着篱笆喊了一声，对方明白了他的意思。,"当他看到亨德森在他的花园,他叫过<unk>,并让自己理解.",1,1,"['▁当', '他', '看', '见', '▁Henderson', '▁在', '他的', '花', '园', '里', '时', ',', '他', '隔', '着', '篱', '笆', '喊', '了一', '声', ',', '对', '方', '明白', '了他的', '意思', '<unk>', '<pad>']"
237,England English,spk_0478,"He also has a daughter, Amaiya Samuel.",他还有一个女儿，名叫阿马亚·塞缪尔。,"他还有一个女儿,阿玛雅·塞<unk>尔.",1,1,"['▁他', '还有', '一个', '女儿', ',', '名', '叫', '阿', '马', '亚', '·', '塞', '缪', '尔', '<unk>', '<pad>']"
248,England English,spk_0011,"Without haste, yet without rest unhasting, yet unresting.",不慌不忙，不思休息，并不不劳而获。,"没有<unk>忙,但没有休息不<unk>忙,但不休息.",2,1,"['▁不', '慌', '不', '忙', ',', '不', '思', '休息', ',', '并不', '不', '劳', '而', '获', '<unk>', '<pad>']"
255,England English,spk_0058,It's a homogeneous city.,这是一个同类的城市。,这是一个均<unk>的城市.,1,1,"['▁这是一个', '同', '类', '的城市', '<unk>', '<pad>']"
258,England English,spk_0061,He noticed the unequal cooling of its surface.,他注意到它表面的不均匀冷却。,他注意到它的表面不均<unk>的冷却.,1,1,"['▁他', '注意到', '它', '表', '面的', '不', '均', '匀', '冷', '却', '<unk>', '<pad>']"
266,England English,spk_1357,I like ice-cream.,我喜欢吃冰淇淋。,我喜欢吃冰<unk>淋.,1,1,"['▁我', '喜欢', '吃', '冰', '淇', '淋', '<unk>', '<pad>']"
268,England English,spk_0163,The school's mascot is the golden eagle and their colors are gold and green.,学校的吉祥物是金鹰，它们的颜色是金色和绿色。,"学校的吉祥物是金<unk>,他们的颜色是金色和绿色.",1,1,"['▁学校', '的', '吉', '祥', '物', '是', '金', '鹰', ',', '它们的', '颜色', '是', '金', '色', '和', '绿色', '<unk>', '<pad>']"
281,England English,spk_0036,The hail pattered on the burnt brown grass.,冰雹拍打着烧焦的棕色草地。,冰雹在烧焦的棕色草地上<unk>.,1,1,"['▁', '冰', '雹', '拍', '打', '着', '烧', '焦', '的', '棕', '色', '草', '地', '<unk>']"
296,England English,spk_0558,Ying told us to bring extra strawberries.,她叫我们多带些草莓。,<unk>告诉我们带来额外的草<unk>.,2,1,"['▁她', '叫', '我们', '多', '带', '些', '草', '莓', '<unk>', '<pad>']"
301,England English,spk_1488,He once lent his distinctive voice to an advert for the blackcurrant drink Ribena.,他曾经用自己独特的声音为黑加仑饮料 Ribena 的广告配音。,他曾经在黑<unk>饮料Ribena的广告中借用了他的独特的声音.,1,1,"['▁他', '曾经', '用', '自己', '独', '特的', '声音', '为', '黑', '加', '仑', '饮', '料', '▁Rib', 'ena', '▁的', '广告', '配', '音', '<unk>']"
330,England English,spk_0840,It has also made watering holes inaccessible to the animals within this region.,这也使得该地区的动物无法进入水坑。,它还使得该地区动物无法进入灌<unk>坑.,1,1,"['▁这', '也', '使得', '该', '地区的', '动物', '无法', '进入', '水', '坑', '<unk>', '<pad>']"
335,England English,spk_0840,"Like other royal insignia, the crown was not worn by the sovereign.",和其他皇室标志一样，王冠不是由君主佩戴的。,"像其他皇家<unk>章一样,皇冠不是国王所戴的.",1,1,"['▁和', '其他', '皇', '室', '标志', '一样', ',', '王', '冠', '不是', '由', '君', '主', '佩', '戴', '的', '<unk>', '<pad>']"
368,England English,spk_1580,"From the railway station in the distance came the sound of trains, ringing and rumbling.",从远处的火车站传来火车的声音，清脆而隆隆。,"从远处的火车站听到火车的声音,<unk>和<unk>.",2,1,"['▁从', '远', '处', '的', '火', '车', '站', '传', '来', '火', '车', '的', '声音', ',', '清', '脆', '而', '隆', '隆', '<unk>']"
376,England English,spk_0939,This is why oral rehydration salts include both sodium and glucose.,所以口服补液盐中既含钠，也含葡萄糖。,这就是为什么口服再水化盐包括<unk>和葡萄糖.,1,1,"['▁所以', '口', '服', '补', '液', '盐', '中', '既', '含', '钠', ',', '也', '含', '葡萄', '糖', '<unk>']"
379,England English,spk_0950,I was hoping you might know a thing or two about my surly shadow?,我希望你能对我那粗暴的样子略知一二？,我希望你可能知道一两件事关于我的<unk>气的影子?,1,0,"['▁我希望', '你', '能', '对我', '那', '粗', '暴', '的', '样', '子', '略', '知', '一', '二', '?', '<pad>']"
392,England English,spk_1566,"The alchemist stopped abruptly, and bent to the ground.",炼金术士突然停了下来，俯身在地。,"这位炼金术士突然停下来,<unk>在地上.",1,1,"['▁', '炼', '金', '术', '士', '突然', '停', '了', '下来', ',', '俯', '身', '在', '地', '<unk>', '<pad>']"
398,England English,spk_1526,"I ate a dish with rice, spaghetti, hummus, and caramelized onions.",我吃了一盘米饭、意大利面、鹰嘴豆泥和焦糖洋葱。,"我吃了一道饭, 意大利面, 胡麻, 和焦糖洋<unk>.",1,3,"['▁我', '吃', '了一', '盘', '米', '饭', '<unk>', '意大利', '面', '<unk>', '鹰', '嘴', '豆', '泥', '和', '焦', '糖', '洋', '葱', '<unk>']"
409,England English,spk_1254,A steep trail is painful for our feet.,陡峭的小路走得我们脚痛。,一个<unk>的小径对我们的脚很痛苦.,1,1,"['▁', '陡', '峭', '的小', '路', '走', '得', '我们', '脚', '痛', '<unk>', '<pad>']"
410,England English,spk_0457,Seward proposes that ball lightning is a spinning plasma toroid or ring.,苏华德认为球状闪电是一个旋转的等离子圆环面或环。,塞沃德认为球闪电是一个旋转的等离子体<unk>体或环.,1,1,"['▁', '苏', '华', '德', '认为', '球', '状', '闪', '电', '是一个', '旋', '转', '的', '等', '离', '子', '圆', '环', '面', '或', '环', '<unk>']"
412,England English,spk_0448,I don't like coconuts.,我不喜欢椰子。,我不喜欢<unk>子.,1,1,"['▁我不', '喜欢', '椰', '子', '<unk>', '<pad>']"
420,England English,spk_0849,Pitch the straw through the door of the stable.,把稻草从门插进马厩。,把<unk>子扔进马<unk>的门.,2,1,"['▁把', '稻', '草', '从', '门', '插', '进', '马', '厩', '<unk>']"
427,England English,spk_0609,The river contains a large Salmon and Sea trout population.,这条河有大量的鲑鱼和海鳟。,这条河有大量的<unk>鱼和海<unk>鱼.,2,1,"['▁这', '条', '河', '有', '大量的', '鲑', '鱼', '和', '海', '<unk>']"
439,England English,spk_0069,He disappeared into the tent.,他消失在帐篷里。,他消失在帐<unk>里.,1,1,"['▁他', '消失', '在', '帐', '篷', '里', '<unk>', '<pad>']"
440,England English,spk_1294,"Roll the dice, please.",请掷骰子。,"投<unk>子,请.",1,1,"['▁请', '掷', '骰', '子', '<unk>', '<pad>']"
453,England English,spk_0201,"Bacardi, rye, vodka – what do you want?, asked the barkeeper.",“白家地朗姆、黑麦威士忌、伏特加——你选哪一种？”，酒保问道。,"""巴卡迪,<unk>,伏特加 - - 你想要什么?""酒吧老板问.",1,6,"['▁', '<unk>', '白', '家', '地', '朗', '姆', '<unk>', '黑', '麦', '威', '士', '忌', '<unk>', '伏', '特', '加', '<unk>', '你', '选', '哪', '一种', '?', '<unk>', ',', '酒', '保', '问', '道', '<unk>']"
454,England English,spk_0036,The point of the steel pen was bent and twisted.,钢笔的笔尖扭弯了。,钢笔的尖端被<unk>曲和扭曲了.,1,1,"['▁', '钢', '笔', '的', '笔', '尖', '扭', '弯', '了', '<unk>']"
457,England English,spk_1297,She got the Congressional Medal of Honor!,她获得了国会荣誉勋章！,她得到了国会的荣誉<unk>章!,1,0,"['▁她', '获得了', '国会', '荣', '誉', '勋', '章', '!']"
463,England English,spk_1163,"You can't offer me something that is already mine, the chief said, arrogantly.",“你不能给我一些已经属于我的东西，”酋长傲慢地说。,"""你不能给我已经是我的东西"", <unk>长傲慢地说.",1,3,"['▁', '<unk>', '你', '不能', '给我', '一些', '已经', '属于', '我的', '东西', ',', '<unk>', '酋', '长', '傲', '慢', '地', '说', '<unk>', '<pad>']"
469,England English,spk_0822,Pull the hook to toggle the jukebox.,拉动挂钩来切换点唱机。,拉动<unk>子来开启音乐盒.,1,1,"['▁拉', '动', '挂', '钩', '来', '切', '换', '点', '唱', '机', '<unk>', '<pad>']"
477,England English,spk_0654,They provided warnings about thieves and barbarian tribes.,他们警告要防小偷和野蛮部落。,他们提供了关于盗<unk>和野蛮人的警告.,1,1,"['▁他们', '警告', '要', '防', '小', '偷', '和', '野', '蛮', '部落', '<unk>', '<pad>']"
493,England English,spk_0973,Smaller ellipses create fewer reflections.,较小的椭圆产生较少的反射。,较小的<unk>圆会产生较少的反射.,1,1,"['▁', '较', '小的', '椭', '圆', '产生', '较', '少', '的', '反', '射', '<unk>']"
505,England English,spk_0873,Who is responsible for these parrots?,谁对这些鹦鹉负责？,这些<unk>是谁造成的?,1,0,"['▁', '谁', '对', '这些', '鹦', '鹉', '负责', '?']"
509,England English,spk_0258,The homeless seem to like soup.,无家可归者似乎喜欢喝汤。,无家可归的人似乎喜欢<unk>.,1,1,"['▁无', '家', '可', '归', '者', '似乎', '喜欢', '喝', '汤', '<unk>']"
517,England English,spk_0563,A gritting lorry is used to grit the roads when frost is expected overnight,如果隔夜会出现霜冻，则用铺沙砾的货车在路上铺沙砾。,"当夜间预计会有<unk>时, 一辆<unk>石卡车被用来<unk>石道路",3,1,"['▁如果', '隔', '夜', '会', '出现', '霜', '冻', ',', '则', '用', '铺', '沙', '砾', '的', '货', '车', '在', '路上', '铺', '沙', '砾', '<unk>']"
524,England English,spk_0695,"He studied Theatre Arts and English at Western Kentucky University in Bowling Green, Kentucky.",他在肯塔基州鲍灵格林市的西肯塔基大学学习戏剧艺术和英语。,他在肯塔基州<unk>林格林的西部肯塔基大学学习戏剧艺术和英语.,1,1,"['▁他在', '肯', '塔', '基', '州', '鲍', '灵', '格', '林', '市', '的', '西', '肯', '塔', '基', '大学', '学习', '戏', '剧', '艺术', '和', '英语', '<unk>', '<pad>']"
533,England English,spk_0324,Marcel Proust was said to suffer from neurasthenia.,据说 Marcel Proust 患有神经衰弱。,据说马塞尔·普鲁斯特患有神经<unk>.,1,1,"['▁据', '说', '▁Marcel', '▁Pro', 'ust', '▁', '患有', '神经', '衰', '弱', '<unk>', '<pad>']"
535,England English,spk_1148,"Genyo Takeda was born in Osaka, Japan.",武田健代（Genyo Takeda）出生于日本大阪。,詹永<unk>出生于日本大阪.,1,1,"['▁武', '田', '健', '代', '(', 'G', 'enyo', '▁Tak', 'eda', ')', '出生于', '日本', '大', '阪', '<unk>', '<pad>']"
546,England English,spk_0941,"He kept driving at full speed, totally unfazed by the flap, flap, flap of the burst tyre.",他一直全速行驶，完全没有被爆胎的拍打声吓到。,"他继续以全速行驶, 完全不受破裂轮胎的<unk>,<unk>,<unk>的影响.",3,1,"['▁他', '一直', '全', '速', '行', '驶', ',', '完全', '没有', '被', '爆', '胎', '的', '拍', '打', '声', '吓', '到', '<unk>', '<pad>']"
552,England English,spk_0510,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.",我喜欢苹果、梨和石榴，也喜欢草莓或葡萄。,"我喜欢<unk>果,梨和石榴,但我确实喜欢草<unk>或葡萄.",2,2,"['▁我', '喜欢', '苹果', '<unk>', '梨', '和', '石', '榴', ',', '也', '喜欢', '草', '莓', '或', '葡萄', '<unk>']"
561,England English,spk_0322,"I'm an old, superstitious Arab, and I believe in our proverbs.",我是一个年迈而迷信的阿拉伯人，我相信我们的谚语。,"我是一个老,迷信的阿拉伯人, 我相信我们的<unk>语.",1,1,"['▁我', '是一个', '年', '迈', '而', '迷', '信', '的', '阿拉伯', '人', ',', '我', '相信', '我们的', '谚', '语', '<unk>', '<pad>']"
564,England English,spk_1524,The boy mumbled an answer that allowed him to avoid responding to her question.,这个男孩含糊地回答了一个问题，使得他避免回答她的问题。,"这个男孩<unk>着回答, 让他避免回答她的问题.",1,1,"['▁这个', '男孩', '含', '糊', '地', '回答', '了一个', '问题', ',', '使得', '他', '避免', '回答', '她', '的问题', '<unk>']"
565,England English,spk_0438,"The men climbed the hill, and they were tired when they reached the top.",男人们爬上了山，到达山顶时他们都累了。,"这些人爬上了山,到达山顶时他们已经疲<unk>不堪.",1,1,"['▁男', '人们', '爬', '上了', '山', ',', '到达', '山', '顶', '时', '他们', '都', '累', '了', '<unk>', '<pad>']"
567,England English,spk_1107,He stood irresolute for a moment and then scrambled out of the pit.,他犹豫不决地站了一会儿，然后从坑里爬了出来。,"他站了不决心的一刻,然后<unk>出坑.",1,1,"['▁他', '犹', '豫', '不', '决', '地', '站', '了一', '会', '儿', ',', '然后', '从', '坑', '里', '爬', '了', '出来', '<unk>', '<pad>']"
568,England English,spk_0810,"The alchemist removed the pan from the fire, and set it aside to cool.",炼金术士把锅从火上移开，放在一边冷却。,"这位炼金术士把<unk>从火中取出来,把它放在一边冷却.",1,1,"['▁', '炼', '金', '术', '士', '把', '锅', '从', '火', '上', '移', '开', ',', '放在', '一', '边', '冷', '却', '<unk>', '<pad>']"
570,England English,spk_1428,"I'm not so much into anatomy, where's the bladder again?",我对解剖学不太在行，我想再问一下膀胱在哪里来着？,"我对解剖学不太了解,膀<unk>又在哪里?",1,0,"['▁我', '对', '解', '剖', '学', '不太', '在', '行', ',', '我想', '再', '问', '一下', '膀', '胱', '在', '哪里', '来', '着', '?']"
572,England English,spk_0329,"The Englishman prodded him, and the boy asked her about the man who cured people's illnesses.",英国人戳了他一下，男孩就问她是谁治好了人们的病。,"这位英国人<unk>他,男孩问她关于治愈人们疾病的人.",1,1,"['▁英国', '人', '戳', '了他', '一下', ',', '男孩', '就', '问', '她', '是', '谁', '治', '好了', '人们', '的', '病', '<unk>']"
594,England English,spk_0266,"Like spinach, they contain mildly toxic oxalic acid, which is named after the genus.",和菠菜一样，它们也含有少量可能引发中毒的草酸，以草属命名。,"像<unk>菜一样,它们含有轻微有毒的<unk>酸,以该属命名.",2,2,"['▁和', '<unk>', '菜', '一样', ',', '它们', '也', '含有', '少', '量', '可能', '引发', '中', '毒', '的', '草', '酸', ',', '以', '草', '属', '命名', '<unk>', '<pad>']"
595,England English,spk_1294,"Sports, music, cooking and other topics are covered.",包括体育、音乐、烹饪和其他主题。,"体育,音乐,<unk>和其他主题都被涵盖.",1,3,"['▁包括', '体育', '<unk>', '音乐', '<unk>', '烹', '饪', '和其他', '主题', '<unk>']"
599,England English,spk_1183,The main and outrigger wheels were covered by streamlined clamshell doors when in flight.,主机轮和外伸轮在飞行时被流线型的蛤壳状门所覆盖。,主要的轮子和外<unk>轮在飞行时被流线的<unk>壳门覆盖.,2,1,"['▁主', '机', '轮', '和', '外', '伸', '轮', '在', '飞行', '时', '被', '流', '线', '型的', '蛤', '壳', '状', '门', '所', '覆盖', '<unk>', '<pad>']"
603,Filipino,spk_1280,"Go and speak to the tribal chieftains, said the camel driver.",“去和部落首领谈谈，”骆驼车夫说。,"""去和部落的首领说话"",<unk>驼司机说.",1,3,"['▁', '<unk>', '去', '和', '部落', '首', '领', '谈', '谈', ',', '<unk>', '骆', '驼', '车', '夫', '说', '<unk>', '<pad>']"
608,Filipino,spk_0375,"Oh, I know it!",喔，我知道！,"<unk>,我知道!",1,0,"['▁', '喔', ',', '我知道', '!', '<pad>']"
610,Filipino,spk_0375,"The flag is red, blue, and yellow.",旗子是红、蓝、黄三色的。,"旗<unk>是红色的,蓝色的和黄色的.",1,3,"['▁', '旗', '子', '是', '红', '<unk>', '蓝', '<unk>', '黄', '三', '色的', '<unk>']"
624,Filipino,spk_1497,He felt the role gave him the reputation of being a cad.,他觉得这个角色使他享有成为 Cad 的声誉。,他觉得这个角色给了他一个<unk>人的声誉.,1,1,"['▁他', '觉得', '这个', '角色', '使', '他', '享有', '成为', '▁Cad', '▁的', '声', '誉', '<unk>', '<pad>']"
632,Filipino,spk_0020,"Tiffany told us, the bench is made of beech wood.",Tiffany 告诉我们，长凳是由榉木制成的。,"蒂芬妮告诉我们,这张长凳是用<unk>木制成的.",1,2,"['▁Tiffany', '▁', '告诉', '我们', ',', '长', '凳', '是由', '<unk>', '木', '制', '成', '的', '<unk>']"
640,Filipino,spk_1561,Some sources differentiate bolt-on and bolt-in neck construction.,一些来源可区分螺栓连接和连接的颈部结构。,一些消息来源区分了螺栓式和螺栓式的<unk>部结构.,1,1,"['▁一些', '来源', '可', '区', '分', '螺', '栓', '连接', '和', '连接', '的', '颈', '部', '结构', '<unk>', '<pad>']"
647,Filipino,spk_0375,Don't advertise: Tell it to a gossip.,不登广告：去告诉八卦的人。,"不要广告,告诉一个八<unk>",1,1,"['▁不', '登', '广告', ':', '去', '告诉', '八', '卦', '的人', '<unk>']"
652,Filipino,spk_0825,"Grime, rust and residual particles polluted the air.",尘垢、铁锈和残留的微粒污染了空气。,"污垢,<unk>和残留的粒子污染了空气.",1,2,"['▁', '尘', '垢', '<unk>', '铁', '锈', '和', '残', '留', '的', '微', '粒', '污染', '了', '空气', '<unk>']"
653,Filipino,spk_0210,"Hey, don't go there!",嘿，别去那里！,"<unk>,不要去那里!",1,0,"['▁', '嘿', ',', '别', '去', '那里', '!', '<pad>']"
658,Filipino,spk_0979,"So he could not be hasty, nor impatient.",因此，他不能操之过急，也不能不耐烦。,"所以他不能<unk>忙,也不能不耐烦.",1,1,"['▁因此', ',', '他', '不能', '操', '之', '过', '急', ',', '也', '不能', '不', '耐', '烦', '<unk>', '<pad>']"
692,Filipino,spk_1002,Thomas was left paralyzed from the chest down.,托马斯从胸部以下瘫痪。,托马斯从胸部到下半身都<unk>了.,1,1,"['▁', '托', '马', '斯', '从', '胸', '部', '以下', '瘫', '痪', '<unk>', '<pad>']"
