id,baseline_translation,baseline_has_unk,blocked_translation,blocked_has_unk,unk_removed,sentence,reference_translation_zh,primary_accent
sample_1253,草<unk>沉入了柔软的草地.,True,草<unk>沉入了柔软的草地.,True,False,The cleat sank deeply into the soft turf.,桩子深深地沉入软草地里。,Hong Kong English
sample_1265,我的洗发水是用<unk>子和甜杏仁制成的,True,我的洗发水是用<unk>子和甜杏仁制成的,True,False,My shampoo is made from coconut and sweet almond.,我的洗发水由椰子和甜杏仁制成。,Hong Kong English
sample_1383,"如果你想要一个三明治,不要犹<unk>抓住一个.",True,"如果你想要一个三明治,不要犹<unk>抓住一个.",True,False,"If you want a sandwich, don't hesitate grabbing one.",如果你想要一个三明治，不要犹豫，抓住一个。,Hong Kong English
sample_1555,我敢打<unk>你忘了葡萄酒!,True,我敢打<unk>你忘了葡萄酒!,True,False,I bet you forgot the wine!,我打赌你忘了酒！,Hong Kong English
sample_1731,我室友的男朋友用他的<unk>酒占据了两个冰箱的空间.,True,我室友的男朋友用他的<unk>酒占据了两个冰箱的空间.,True,False,My roommate’s boyfriend is taking up two shelves of fridge space with his beer.,我室友的男朋友的啤酒占据了冰箱的两格空间。,Hong Kong English
sample_1864,"这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.",True,"这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.",True,False,"The diver forced open the oyster, revealing a shimmering pearl.",潜水员强行打开牡蛎，露出一颗闪闪发光的珍珠。,"India and South Asia (India, Pakistan, Sri Lanka)"
sample_2041,"乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.",True,"乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.",True,False,The band's sound is distinctive due to the powerful vocals of singer Sonia Pineault.,乐队的声音因歌手 Sonia Pineault 的强劲嗓音而与众不同。,"India and South Asia (India, Pakistan, Sri Lanka)"
sample_2061,"为了找出确切的<unk>值, 我们需要以可重复的方式重复.",True,"为了找出确切的<unk>值, 我们需要以可重复的方式重复.",True,False,"To find out the exact threshold, we need to repeat this in a reproducible manner.",为了找出确切的阈值，我们需要以可重复的方式重复此过程。,"India and South Asia (India, Pakistan, Sri Lanka)"
sample_2093,"<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.",True,"<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.",True,False,"Doves sprouted, then escaped from various oversized pockets, some trailing handkerchiefs or bunting.",鸽子涌现而出，然后从各种超大的口袋力逃出来，一些嘴里叼着手帕或彩布。,"India and South Asia (India, Pakistan, Sri Lanka)"
sample_2176,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,True,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,True,False,The flock of flamingos landed gracefully on their awkward looking legs.,一群火烈鸟优雅地落在它们笨拙的腿上。,"India and South Asia (India, Pakistan, Sri Lanka)"
sample_2442,"她回到了年轻,从压迫的<unk>中解放出来.",True,"她回到了年轻,从压迫的<unk>中解放出来.",True,False,"Youth had come back to her, freed from the yoke of oppression.",青年回到了她身边，摆脱了压迫的束缚。,Malaysian English
sample_2724,"当地毯和窗<unk>着火时,天气开始变暖.",True,"当地毯和窗<unk>着火时,天气开始变暖.",True,False,"When the carpet and the curtains caught fire, it was getting warm.",当地毯和窗帘着火时，温度逐渐上升。,Malaysian English
sample_2757,"<unk>,看,一个飞猪!",True,"<unk>,看,一个飞猪!",True,False,"Hey look, a flying pig!",嘿，看，一只飞猪！,Malaysian English
sample_2779,福布斯出生在<unk>迪.,True,福布斯出生在<unk>迪.,True,False,Forbes was born in Dundee.,《福布斯杂志》诞生于邓迪。,Malaysian English
sample_2971,"林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.",True,"林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.",True,False,"Linfen has rich mineral resources including coal, iron ore, copper, and lead.",临汾有丰富的煤、铁矿石、铜、铅等矿产资源。,Malaysian English
sample_3082,这家人住在斯<unk>顿母亲的理发店上方.,True,这家人住在斯<unk>顿母亲的理发店上方.,True,False,The family lived over Staunton's mother's hair dressing salon.,全家依靠 Staunton 母亲的美发沙龙为生。,"Southern African (South Africa, Zimbabwe, Namibia)"
sample_3131,我在<unk>笔箱里找不到线索.,True,我在<unk>笔箱里找不到线索.,True,False,I can't find the ruler in my pencil case.,我找不到我铅笔盒里的尺子。,"Southern African (South Africa, Zimbabwe, Namibia)"
sample_3220,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,True,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,True,False,The Girl Guide emblem is set upon a banner of the flag of Estonia.,女童军的徽章被挂在爱沙尼亚国旗的旗帜上。,"Southern African (South Africa, Zimbabwe, Namibia)"
sample_3340,我无法停止<unk>着它.,True,我无法停止<unk>着它.,True,False,I couldn’t stop staring at it.,我不停地盯着它。,"Southern African (South Africa, Zimbabwe, Namibia)"
sample_3536,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,True,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,True,False,The cover art is by Ed Roth and Dave Christensen.,封面艺术是 Ed Roth 和 Dave Christensen 的作品。,"Southern African (South Africa, Zimbabwe, Namibia)"
sample_3699,蒸汽从破碎的<unk>门发出<unk>声.,True,蒸汽从破碎的<unk>门发出<unk>声.,True,False,Steam hissed from the broken valve.,蒸汽从阀门的破裂处发出嘶嘶声。,United States English
sample_3744,你的意思是间<unk>和类似的东西?,True,你的意思是间<unk>和类似的东西?,True,False,You mean spies and things like that?,你是说间谍之类的？,United States English
sample_3753,"放下<unk>笔,时间过去了.",True,"放下<unk>笔,时间过去了.",True,False,"Pencils down, time is over.",请放下铅笔，时间到了。,United States English
sample_4039,最好在树枝还小的时候<unk>曲.,True,最好在树枝还小的时候<unk>曲.,True,False,Best to bend it while it's a twig.,当它还是一根小树枝的时候，最好把它弄弯。,United States English
sample_4042,"在波茨<unk>斯降级后,迪奥普被认为很可能被释放.",True,"在波茨<unk>斯降级后,迪奥普被认为很可能被释放.",True,False,"Following Portsmouth's relegation, Diop was considered likely to be released.",在朴茨茅斯降级之后，有人认为 Diop 可能会转会。,United States English
