id,primary_accent,sentence,reference_translation_zh,official_direct_translation,baseline_translation,baseline_has_literal_unk,baseline_runtime_sec,blocked_translation,blocked_has_literal_unk,blocked_runtime_sec,translation_changed,literal_unk_removed
sample_1253,Hong Kong English,The cleat sank deeply into the soft turf.,桩子深深地沉入软草地里。,草<unk>沉入了柔软的草地.,草<unk>沉入了柔软的草地.,True,1.7662140420000014,草<unk > 沉入了柔软的草地中.,False,1.8105119589999958,True,True
sample_1265,Hong Kong English,My shampoo is made from coconut and sweet almond.,我的洗发水由椰子和甜杏仁制成。,我的洗发水是用<unk>子和甜杏仁制成的,我的洗发水是用<unk>子和甜杏仁制成的,True,1.9687007499999964,我的洗发水是用<unk >和甜杏仁制成的.,False,1.872086166999992,True,True
sample_1383,Hong Kong English,"If you want a sandwich, don't hesitate grabbing one.",如果你想要一个三明治，不要犹豫，抓住一个。,"如果你想要一个三明治,不要犹<unk>抓住一个.","如果你想要一个三明治,不要犹<unk>抓住一个.",True,1.797784583000002,"如果你想要一个三明治,不要犹<unk > 抓住一个.",False,1.8203315410000016,True,True
sample_1555,Hong Kong English,I bet you forgot the wine!,我打赌你忘了酒！,我敢打<unk>你忘了葡萄酒!,我敢打<unk>你忘了葡萄酒!,True,1.471350583000003,我敢打<unk > 你忘了葡萄酒!,False,1.461273540999997,True,True
sample_1731,Hong Kong English,My roommate’s boyfriend is taking up two shelves of fridge space with his beer.,我室友的男朋友的啤酒占据了冰箱的两格空间。,我室友的男朋友用他的<unk>酒占据了冰箱的两个架子.,我室友的男朋友用他的<unk>酒占据了两个冰箱的空间.,True,2.379857000000001,我室友的男朋友用他的<unk > 啤酒占据了冰箱的两个架子.,False,2.715147250000001,True,True
sample_1864,"India and South Asia (India, Pakistan, Sri Lanka)","The diver forced open the oyster, revealing a shimmering pearl.",潜水员强行打开牡蛎，露出一颗闪闪发光的珍珠。,"这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.","这位潜水员强行打开了<unk>,发现了一颗闪闪发光的珍珠.",True,2.317806165999997,"这位潜水员强行打开了<unk >,发现了一颗闪闪发光的珍珠.",False,2.4564568749999864,True,True
sample_2041,"India and South Asia (India, Pakistan, Sri Lanka)",The band's sound is distinctive due to the powerful vocals of singer Sonia Pineault.,乐队的声音因歌手 Sonia Pineault 的强劲嗓音而与众不同。,"乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.","乐队的声音是独特的,因为歌手索尼<unk>·皮内尔的强大声乐.",True,2.541536375000007,"乐队的声音是独特的,因为歌手索尼<unk > 皮内尔的强大声乐.",False,2.524438874999987,True,True
sample_2061,"India and South Asia (India, Pakistan, Sri Lanka)","To find out the exact threshold, we need to repeat this in a reproducible manner.",为了找出确切的阈值，我们需要以可重复的方式重复此过程。,"为了找出确切的<unk>值, 我们需要以可重复的方式重复.","为了找出确切的<unk>值, 我们需要以可重复的方式重复.",True,2.1419287500000053,"为了找出确切的<unk >, 我们需要以可重复的方式重复.",False,2.163673041999999,True,True
sample_2093,"India and South Asia (India, Pakistan, Sri Lanka)","Doves sprouted, then escaped from various oversized pockets, some trailing handkerchiefs or bunting.",鸽子涌现而出，然后从各种超大的口袋力逃出来，一些嘴里叼着手帕或彩布。,"<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.","<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.",True,2.90761804200001,<unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <,False,17.758509292000014,True,True
sample_2176,"India and South Asia (India, Pakistan, Sri Lanka)",The flock of flamingos landed gracefully on their awkward looking legs.,一群火烈鸟优雅地落在它们笨拙的腿上。,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,True,2.354262792,这群火<unk > 鸟在它们<unk > <unk > 的<unk > <unk > 腿上优雅地降落.,False,3.531950041999977,True,True
sample_2442,Malaysian English,"Youth had come back to her, freed from the yoke of oppression.",青年回到了她身边，摆脱了压迫的束缚。,"她回到了年轻,从压迫的<unk>中解放出来.","她回到了年轻,从压迫的<unk>中解放出来.",True,2.009426000000005,"她回到了年轻,从压迫的<unk > 中解放出来.",False,2.127729417000012,True,True
sample_2724,Malaysian English,"When the carpet and the curtains caught fire, it was getting warm.",当地毯和窗帘着火时，温度逐渐上升。,"当地毯和窗<unk>着火时,天气开始变暖.","当地毯和窗<unk>着火时,天气开始变暖.",True,2.3838782079999987,"当地毯和窗<unk > 着火时,天气开始变暖.",False,2.488520666999989,True,True
sample_2757,Malaysian English,"Hey look, a flying pig!",嘿，看，一只飞猪！,"<unk>,看,一个飞猪!","<unk>,看,一个飞猪!",True,1.4142036669999953,<unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <unk > <,False,16.888350416999998,True,True
sample_2779,Malaysian English,Forbes was born in Dundee.,《福布斯杂志》诞生于邓迪。,福布斯出生在<unk>迪.,福布斯出生在<unk>迪.,True,1.5717177500000048,福布斯出生在<unk > 迪.,False,1.653508291999998,True,True
sample_2971,Malaysian English,"Linfen has rich mineral resources including coal, iron ore, copper, and lead.",临汾有丰富的煤、铁矿石、铜、铅等矿产资源。,"林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.","林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.",True,2.592239875000004,"林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk >.",False,2.5978582500000016,True,True
sample_3082,"Southern African (South Africa, Zimbabwe, Namibia)",The family lived over Staunton's mother's hair dressing salon.,全家依靠 Staunton 母亲的美发沙龙为生。,这家人住在斯<unk>顿母亲的理发店上方.,这家人住在斯<unk>顿母亲的理发店上方.,True,2.0172197499999953,这家人住在斯<unk > 顿的母亲的理发店.,False,2.1704604170000152,True,True
sample_3131,"Southern African (South Africa, Zimbabwe, Namibia)",I can't find the ruler in my pencil case.,我找不到我铅笔盒里的尺子。,我在<unk>笔箱里找不到线索.,我在<unk>笔箱里找不到线索.,True,1.642631209000001,我在<unk > 笔盒里找不到线条.,False,1.6549778339999932,True,True
sample_3220,"Southern African (South Africa, Zimbabwe, Namibia)",The Girl Guide emblem is set upon a banner of the flag of Estonia.,女童军的徽章被挂在爱沙尼亚国旗的旗帜上。,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,True,2.114297666000013,女导游的标志是印在爱沙尼亚国旗的旗<unk >上.,False,2.164542874999995,True,True
sample_3340,"Southern African (South Africa, Zimbabwe, Namibia)",I couldn’t stop staring at it.,我不停地盯着它。,我无法停止<unk>着它.,我无法停止<unk>着它.,True,1.3548488750000018,我无法停止<unk > 盯着它.,False,1.4772825830000045,True,True
sample_3536,"Southern African (South Africa, Zimbabwe, Namibia)",The cover art is by Ed Roth and Dave Christensen.,封面艺术是 Ed Roth 和 Dave Christensen 的作品。,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,True,2.330274000000003,封面是由埃德·罗斯和戴夫·克里斯<unk > 森.,False,2.2560090839999987,True,True
sample_3699,United States English,Steam hissed from the broken valve.,蒸汽从阀门的破裂处发出嘶嘶声。,蒸汽从破碎的<unk>门发出<unk>声.,蒸汽从破碎的<unk>门发出<unk>声.,True,1.9218258749999961,蒸汽从破碎的<unk > 门发出<unk > 声.,False,2.1964998750000007,True,True
sample_3744,United States English,You mean spies and things like that?,你是说间谍之类的？,你的意思是间<unk>和类似的东西?,你的意思是间<unk>和类似的东西?,True,1.4638786659999994,你的意思是间<unk >和类似的东西?,False,1.4608372079999867,True,True
sample_3753,United States English,"Pencils down, time is over.",请放下铅笔，时间到了。,"放下<unk>笔,时间过去了.","放下<unk>笔,时间过去了.",True,1.4214914580000055,"放下<unk > 笔,时间已经过去了.",False,1.5569571669999789,True,True
sample_4039,United States English,Best to bend it while it's a twig.,当它还是一根小树枝的时候，最好把它弄弯。,最好在树枝还小的时候<unk>曲.,最好在树枝还小的时候<unk>曲.,True,1.633779000000004,最好在树枝还小的时候<unk > 折<unk > 它.,False,1.922033459000005,True,True
sample_4042,United States English,"Following Portsmouth's relegation, Diop was considered likely to be released.",在朴茨茅斯降级之后，有人认为 Diop 可能会转会。,"在波茨<unk>斯降级后,迪奥普被认为很可能被释放.","在波茨<unk>斯降级后,迪奥普被认为很可能被释放.",True,2.2883781250000084,"在波茨<unk > 茅斯降级后,迪奥普被认为很可能被释放.",False,2.374611417000011,True,True
