id,sample_id,primary_accent,clip,sentence,reference_translation_zh,official_direct_translation,translation,runtime_sec,audio_duration_sec,loader_used,generated_token_count,generated_token_ids,contains_literal_unk,special_unk_id_count,exactly_matches_official
sample_2061,spk_1464,"India and South Asia (India, Pakistan, Sri Lanka)",common_voice_en_17286660.mp3,"To find out the exact threshold, we need to repeat this in a reproducible manner.",为了找出确切的阈值，我们需要以可重复的方式重复此过程。,"为了找出确切的<unk>值, 我们需要以可重复的方式重复.","为了找出确切的<unk>值, 我们需要以可重复的方式重复.",2.1419287500000053,5.376,torchaudio,22,"[3, 256016, 74456, 250211, 248761, 249865, 249899, 248016, 249371, 2105, 248948, 250033, 247681, 19704, 12176, 248678, 248812, 246656, 61228, 246656, 247676, 3]",True,0,True
sample_2093,spk_0819,"India and South Asia (India, Pakistan, Sri Lanka)",common_voice_en_1868987.mp3,"Doves sprouted, then escaped from various oversized pockets, some trailing handkerchiefs or bunting.",鸽子涌现而出，然后从各种超大的口袋力逃出来，一些嘴里叼着手帕或彩布。,"<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.","<unk>子<unk>芽,然后从各种超大的口袋里逃脱, 有些拖着手帕或<unk>.",2.90761804200001,6.816,torchaudio,33,"[3, 256016, 9614, 2105, 248948, 249036, 249371, 2105, 248948, 253792, 247681, 73162, 249613, 57099, 249650, 21087, 249661, 252030, 249184, 251651, 251646, 247681, 96214, 252604, 249783, 249262, 251361, 249241, 249371, 2105, 248948, 247676, 3]",True,0,True
sample_2176,spk_1040,"India and South Asia (India, Pakistan, Sri Lanka)",common_voice_en_666818.mp3,The flock of flamingos landed gracefully on their awkward looking legs.,一群火烈鸟优雅地落在它们笨拙的腿上。,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,这群火<unk>鸟在它们<unk>拙的腿上优雅地降落.,2.354262792,5.304,torchaudio,25,"[3, 256016, 7068, 250529, 250269, 249371, 2105, 248948, 253026, 248408, 39741, 249371, 2105, 248948, 254425, 248016, 252654, 248708, 250708, 251244, 248873, 250586, 250331, 247676, 3]",True,0,True
sample_2442,spk_0551,Malaysian English,common_voice_en_18330153.mp3,"Youth had come back to her, freed from the yoke of oppression.",青年回到了她身边，摆脱了压迫的束缚。,"她回到了年轻,从压迫的<unk>中解放出来.","她回到了年轻,从压迫的<unk>中解放出来.",2.009426000000005,5.496,torchaudio,19,"[3, 256016, 25141, 249491, 38894, 95443, 247681, 249613, 251279, 251106, 248016, 249371, 2105, 248948, 248618, 176400, 57396, 247676, 3]",True,0,True
sample_2724,spk_0263,Malaysian English,common_voice_en_184404.mp3,"When the carpet and the curtains caught fire, it was getting warm.",当地毯和窗帘着火时，温度逐渐上升。,"当地毯和窗<unk>着火时,天气开始变暖.","当地毯和窗<unk>着火时,天气开始变暖.",2.3838782079999987,8.88,torchaudio,20,"[3, 256016, 34931, 248873, 253936, 248582, 252224, 249371, 2105, 248948, 249783, 250269, 249039, 247681, 183563, 24205, 249967, 251862, 247676, 3]",True,0,True
sample_2757,spk_1447,Malaysian English,common_voice_en_17252814.mp3,"Hey look, a flying pig!",嘿，看，一只飞猪！,"<unk>,看,一个飞猪!","<unk>,看,一个飞猪!",1.4142036669999953,2.736,torchaudio,13,"[3, 256016, 9614, 2105, 248948, 247681, 249251, 247681, 5085, 250987, 253034, 248054, 3]",True,0,True
sample_2779,spk_0467,Malaysian English,common_voice_en_18982682.mp3,Forbes was born in Dundee.,《福布斯杂志》诞生于邓迪。,福布斯出生在<unk>迪.,福布斯出生在<unk>迪.,1.5717177500000048,4.92,torchaudio,13,"[3, 256016, 97955, 249615, 249019, 15831, 248408, 249371, 2105, 248948, 250766, 247676, 3]",True,0,True
sample_2971,spk_0290,Malaysian English,common_voice_en_19118255.mp3,"Linfen has rich mineral resources including coal, iron ore, copper, and lead.",临汾有丰富的煤、铁矿石、铜、铅等矿产资源。,"林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.","林芬拥有丰富的矿产资源,包括煤炭,铁矿石,铜和<unk>.",2.592239875000004,7.656,torchaudio,26,"[3, 256016, 139015, 251962, 48079, 177317, 248016, 252267, 249591, 44397, 247681, 15099, 252789, 252708, 247681, 251609, 252267, 250416, 247681, 253349, 248582, 249371, 2105, 248948, 247676, 3]",True,0,True
sample_3082,spk_0125,"Southern African (South Africa, Zimbabwe, Namibia)",common_voice_en_19181257.mp3,The family lived over Staunton's mother's hair dressing salon.,全家依靠 Staunton 母亲的美发沙龙为生。,这家人住在斯<unk>顿母亲的理发店上方.,这家人住在斯<unk>顿母亲的理发店上方.,2.0172197499999953,6.216,torchaudio,19,"[3, 256016, 7068, 74937, 90753, 249019, 249371, 2105, 248948, 251182, 138383, 248016, 249054, 249043, 249787, 248708, 248903, 247676, 3]",True,0,True
sample_3131,spk_0869,"Southern African (South Africa, Zimbabwe, Namibia)",common_voice_en_17272685.mp3,I can't find the ruler in my pencil case.,我找不到我铅笔盒里的尺子。,我在<unk>笔箱里找不到线索.,我在<unk>笔箱里找不到线索.,1.642631209000001,3.792,torchaudio,15,"[3, 256016, 174483, 249371, 2105, 248948, 251996, 251460, 249184, 250211, 83798, 250143, 250477, 247676, 3]",True,0,True
sample_3220,spk_1533,"Southern African (South Africa, Zimbabwe, Namibia)",common_voice_en_20031563.mp3,The Girl Guide emblem is set upon a banner of the flag of Estonia.,女童军的徽章被挂在爱沙尼亚国旗的旗帜上。,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,女导游的标志是印在爱沙尼亚国旗的旗<unk>上.,2.114297666000013,4.464,torchaudio,23,"[3, 256016, 70185, 250038, 249977, 248016, 196011, 248402, 249960, 248408, 250321, 250940, 64408, 248636, 251771, 248016, 251771, 249371, 2105, 248948, 248708, 247676, 3]",True,0,True
sample_3340,spk_0340,"Southern African (South Africa, Zimbabwe, Namibia)",common_voice_en_569340.mp3,I couldn’t stop staring at it.,我不停地盯着它。,我无法停止<unk>着它.,我无法停止<unk>着它.,1.3548488750000018,2.568,torchaudio,12,"[3, 256016, 3742, 60675, 95744, 249371, 2105, 248948, 249783, 249234, 247676, 3]",True,0,True
sample_3536,spk_0178,"Southern African (South Africa, Zimbabwe, Namibia)",common_voice_en_18884069.mp3,The cover art is by Ed Roth and Dave Christensen.,封面艺术是 Ed Roth 和 Dave Christensen 的作品。,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,封面是由埃德·罗斯和戴夫·克里斯<unk>森创作的.,2.330274000000003,5.4,torchaudio,25,"[3, 256016, 247661, 251393, 249137, 108732, 250969, 249442, 248990, 250156, 249019, 248582, 251861, 250230, 248990, 249420, 101776, 249371, 2105, 248948, 250667, 250127, 187522, 247676, 3]",True,0,True
sample_3699,spk_1569,United States English,common_voice_en_17877282.mp3,Steam hissed from the broken valve.,蒸汽从阀门的破裂处发出嘶嘶声。,蒸汽从破碎的<unk>门发出<unk>声.,蒸汽从破碎的<unk>门发出<unk>声.,1.9218258749999961,4.008,torchaudio,20,"[3, 256016, 247661, 252812, 250844, 249613, 250616, 252645, 248016, 249371, 2105, 248948, 250054, 246834, 249371, 2105, 248948, 250549, 247676, 3]",True,0,True
sample_3744,spk_0803,United States English,common_voice_en_2972.mp3,You mean spies and things like that?,你是说间谍之类的？,你的意思是间<unk>和类似的东西?,你的意思是间<unk>和类似的东西?,1.4638786659999994,2.856,torchaudio,14,"[3, 256016, 191779, 59625, 248402, 249403, 249371, 2105, 248948, 248582, 122001, 125710, 247805, 3]",True,0,True
sample_3753,spk_0056,United States English,common_voice_en_17877631.mp3,"Pencils down, time is over.",请放下铅笔，时间到了。,"放下<unk>笔,时间过去了.","放下<unk>笔,时间过去了.",1.4214914580000055,2.304,torchaudio,14,"[3, 256016, 204143, 248944, 249371, 2105, 248948, 251996, 247681, 19440, 56785, 248685, 247676, 3]",True,0,True
sample_4039,spk_1233,United States English,common_voice_en_461793.mp3,Best to bend it while it's a twig.,当它还是一根小树枝的时候，最好把它弄弯。,最好在树枝还小的时候<unk>曲.,最好在树枝还小的时候<unk>曲.,1.633779000000004,3.648,torchaudio,16,"[3, 256016, 18929, 249071, 248408, 252004, 253360, 249660, 249076, 64534, 249371, 2105, 248948, 249714, 247676, 3]",True,0,True
sample_4042,spk_0776,United States English,common_voice_en_19817568.mp3,"Following Portsmouth's relegation, Diop was considered likely to be released.",在朴茨茅斯降级之后，有人认为 Diop 可能会转会。,"在波茨<unk>斯降级后,迪奥普被认为很可能被释放.","在波茨<unk>斯降级后,迪奥普被认为很可能被释放.",2.2883781250000084,6.072,torchaudio,23,"[3, 256016, 5170, 250251, 252123, 249371, 2105, 248948, 249019, 250586, 250137, 249374, 247681, 250766, 250782, 249981, 148065, 249315, 8202, 249078, 212227, 247676, 3]",True,0,True
